cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"09503242000172";"1";"SPORT CLUBE SAO JOSE LTDA";"SPORT CLUBE SAO JOSE LTDA";"7319003";"Marketing direto"
"09516829000116";"1";"RV1 CLUBE E PARTICIPACOES LTDA";"ROUTE 55 ESPORTE E LAZER FONTE DO BOSQUE";"4723700";"Comércio varejista de bebidas"
"09516829000116";"1";"RV1 CLUBE E PARTICIPACOES LTDA";"ROUTE 55 ESPORTE E LAZER FONTE DO BOSQUE";"5611203";"Lanchonetes casas de chá de sucos e similares"
"09534402000140";"1";"ASSOCIACAO DESPORTIVA E CULTURAL DO ALVIRUBRO DO MIRAMAR";"ADECAM";"9003500";"Gestão de espaços para artes cênicas espetáculos e outras atividades artísticas"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"4213800";"Obras de urbanização - ruas praças e calçadas"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"4292801";"Montagem de estruturas metálicas"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"4321500";"Instalação e manutenção elétrica"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"4322301";"Instalações hidráulicas sanitárias e de gás"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"6499999";"Outras atividades de serviços financeiros não especificadas anteriormente"
"09562712000179";"1";"MEDIA CONSTRUCOES E ADMINISTRACAO S/A";"";"6822600";"Gestão e administração da propriedade imobiliária"
"09567708000101";"1";"ACQUA MUNDI DIVERSOES E EVENTOS LTDA";"ACQUA MUNDI KART E DIVERSOES AQUATICAS LTDA";"5611205";"Bares e outros estabelecimentos especializados em servir bebidas com entretenimento"
"09567708000101";"1";"ACQUA MUNDI DIVERSOES E EVENTOS LTDA";"ACQUA MUNDI KART E DIVERSOES AQUATICAS LTDA";"9311500";"Gestão de instalações de esportes"
"09581542000170";"1";"PALMA CONSTRUCOES E PARTICIPACOES S/A";"";"4110700";"Incorporação de empreendimentos imobiliários"
